"ID";"french";"english";"german";"spanish";"italian"
1;"%d fichiers %s modifiés et %d ajoutés trouvés";"%d modified files and %d added files found";;;
2;"%d fichiers %s trouvés";"%d %s files found";;;
3;"%d fichiers RM compilés en %.02f secondes.";"%d RM files converted in %.02f seconds.";;;
4;"%d fichiers RM décompilés en %.02f secondes.";"%d RM files converted in %.02f seconds.";;;
5;"%d messages étudiés, %d redimensionnés en %.02f secondes.";"%D dialogs analyzed, %d dialogs resized in %.02f seconds.";;;
6;"%s lignes";"%s lines";;;
7;"%s messages";"%s dialogs";;;
8;"%s mots";"%s words";;;
9;"%s mots par message";"%s words per dialog";;;
10;"Décompiler les fichiers RM en fichiers DMK";"Converting RM maps to DMK maps";;;
11;"Extraire les dialogues des fichiers DMK";"Dialogs extraction from DMK maps";;;
12;"Inclure les dialogues dans les fichiers DMK";"Dialogs inclusion in DMK maps";;;
13;"Compiler les fichiers DMK en fichiers RM";"Converting DMK maps to RM maps";;;
14;"(désactivé) Patch de dialogues";"(desactivated) Dialogs patch";;;
15;"Quitter";"Quit";;;
16;"Attention ! Le fichier dialogues a été modifié ! Continuez votre travail à partir de ce nouveau fichier !";"Warning ! Dialogues file have been modified ! Continue your work from this new file !";;;
17;"Décompiler tous les fichiers";"Converting all files";;;
18;"Décompiler seulement les fichiers modifiés";"Converting only modified files";;;
19;"Retour";"Back";;;
21;"Compiler tous les fichiers";"Convert all files";;;
22;"Compiler seulement les fichiers modifiés";"Converting only modified files";;;
23;"choix : ";"Choose an option :";;;
24;"%s pixels";"%s pixels";;;
25;"%s pixels carré";"%s square pixels";;;
26;"Le fichier %s n'est pas compatible pour la raison suivante :\n%s\nVeuillez contacter l'auteur pour qu'il adapte le programme : kadelfek@kadelfek.com.";"The map %s is not compatible. \nPlease send the map via email to the author in order to fix the problem in the program: kadelfek@kadelfek.com";;;
27;"%s tiles";"%s tiles";;;
28;"(désactivé) Détecter les ressources manquantes";"(desactivated) Find missing ressources";;;
29;"(désactivé) Pourcentage Maker";"(desactivated) Percentage Maker";;;
30;"(désactivé) Redimensionner les dialogues";"(desactivated) Resize dialogs";;;
32;"Compilation des fichiers %s : ";"Converting %s files :";;;
33;"%d fichiers DMK compilés en %.02f secondes.";"%d DMK files processed in %.02f seconds";;;
34;"Aucune instruction n'a besoin d'être modifiée.";"No instruction have to be modified.";;;
35;"Changer les paramètres";"Change parameters";;;
36;"Chargement des polices.";"Loading Fonts";;;
37;"Copie de sauvegarde effectuée : %s => %s";"Save copy done : %s => %s";;;
38;"DreaMaker n'a pas pu trouver d'instruction texte à la position %s pour placer le texte suivant :\n%s";"DreaMaker can't find a text instruction at position %s to place the following text :\n%s";;;
41;"DreaMaker v%s est disponible !";"DreaMaker v%s is available !";;;
42;"Ecriture des dialogues dans le fichier suivant terminée : %s";"Writing dialogs in the following file done : %s";;;
43;"Ecriture des dialogues sur le disque.";"Writing dialogs on the disk.";;;
44;"Création du patch de dialogues.";"Creating Dialogs Patch";;;
45;"Ecriture du rapport dans le fichier suivant : %s";"Writing the report in the following file : %s";;;
46;"Vous devez avoir un fichier dialogues original %s et un fichier dialogues modifié %s pour utiliser cette fonction.";"You must have an original %s file and a modified dialog files %s in order to use this function.";;;
47;"Entrez les données : ";"Enter the datas :";;;
48;"Erreur dans la saisie. Veuillez recommencer.";"Error in the datas. Please do it again.";;;
49;"Erreurs notées dans %s.";"The errors have been logged into %s";;;
50;"Estimation Pourcentage Maker :";"Percentage Maker estimate :";;;
51;"Il n'y a les données d'aucune police correspondant à %s %s.\nVeuillez utiliser l'utilitaire de création des données de polices.";"There is no font data corresponding to %s %s. \nPlease use the data font creation utility.";;;
52;"Il y a eu %d erreurs lors du traitement :";"There was %d errors while processing :";;;
53;"Hacker les données de RM est cool. :)";"Hack RM datas is cool. :)";;;
54;"Impossible de déterminer si le dossier %s contient un projet RM.";"Impossible to determine if folder %s contains a RM project.";;;
55;"Informations sauvegardés.";"Informations saved.";;;
56;"Erreur lors de l'action suivante : %s";"Error during the following action : %s";;;
57;"Infos de %d fichiers récupérées en %.02f secondes.";"Informations from %d files gathered in %.02f seconds.";;;
58;"L'ouverture du fichier suivant a échoué : %s";"The opening of the following file have failed : %s";;;
59;"L'écriture du fichier suivant a échoué : %s";"The writing of the following file have failed : %s";;;
60;"La lecture du fichier suivant a échoué : %s";"The reading of the following file have failed : %s";;;
61;"Le choix multiple suivant à la position %s contient %d lignes au lieu de %d : \n%s";"The following slot choice at position %s have %d lines instead of %d : \n%s";;;
62;"Le dossier suivant ne contient aucun fichier %s modifié ou ajouté : %s";"The following folder contains no %s files modified or added : %s";;;
63;"Le dossier suivant ne contient aucun fichier %s : %s";"The following folder contains no %s files : %s";;;
64;"Le dossier DMK suivant ne contient aucune map ni élément de BD à traiter : %s";"The following DMK folder contains no files to process : %s";;;
65;"Fichier dialogues %s créé en %.02f secondes.";"Dialogs file %s created in %.02f seconds.";;;
66;"%d lignes importées depuis le fichier dialogues %s.";"%d lines imported from the file %s";;;
67;"Le dossier Data %s n'a pas été trouvé. \nVeuillez placer le programme dans le dossier principal d'un projet RMXP.";"Cannot find the Data folder %s.\nPlease put the program in the main folder of a RMXP project.";;;
68;"Le fichier %s est introuvable dans le dossier %s.";"File %s cannot be found in %s folder.";;;
69;"Le fichier suivant est de version %s alors que DreaMaker est de version %s : %s";"The following file is version %s, but the version of DreaMaker is %s : %s";;;
70;"Le fichier suivant a été mis à jour : %s";"The following file have been updated : %s";;;
71;"Le fichier suivant n'a pas été trouvé : %s";"The following file cannot be found : %s";;;
73;"Dans la partie %s, le texte suivant a %d lignes au lieu de %d : \n%s";"In part %s, the following text have %s line instead of %d : \n%s";;;
75;"Nettoyage du projet";"Project cleaning";;;
76;"Nombre de maps : %d maps";"Number of maps : %d maps";;;
77;"Nombre moyen de lignes de dialogue :";"Average lines per dialog :";;;
78;"Nombre moyen de mots par message :";"Average word number per dialog :";;;
79;"Nombre total de lignes de dialogue :";"Total number of lines of dialog :";;;
80;"Nombre total de messages :";"Total dialog number :";;;
81;"Non";"No";;;
82;"Souhaitez-vous mettre à jour le fichier suivant ? \n%s";"Do you want to update the following file ? \n%s";;;
83;"Nouveautés :";"News :";;;
84;"Opération annulée.";"Operation cancelled.";;;
85;"Oui";"Yes";;;
86;"Paramètres actuels : ";"Actual parameters :";;;
87;"Pour installer la nouvelle version :\n- Incluez toutes vos modifications dans les fichiers RM (étapes 3 et 4)\n- Supprimez DreaMaker.exe et tous ses fichiers et dossiers (DMK) du dossier de votre jeu\n- Mettez le nouvel exécutable (DreaMaker.exe) dans le dossier\n\nRetrouvez ces informations dans le manuel.";"To install the new version :\n- Include all your modifications in RM files (Step 3 and 4) \n- Delete DreaMaker.exe and all his files and folders (DMK) from your game's folder \n- Put the new executable (DreaMaker.exe) in the folder \n\nYoucan find all these informations in the manuel.";;;
89;"Redimensionner avec ces paramètres";"Resize with these parameters";;;
90;"Redimensionner les dialogues";"Resize the dialogs";;;
91;"Refuser";"Decline";;;
92;"Récupération des infos du projet.";"Project's informations gathering.";;;
93;"Sauvegarde des informations.";"Information saving.";;;
94;"Sauvegarde du fichier suivant : %s";"Save of the following file : %s";;;
96;"Statistiques sur les maps";"Maps statistics";;;
97;"Superficie moyenne des maps :";"Average map area :";;;
98;"Superficie totale des maps :";"Total map area :";;;
99;"Suppression de %d fichiers DMK inutiles.";"Deleting %d useless DMK files.";;;
